Sample	Tank.ID	Timepoint	Antibiotics	Temperature	Pathogen	Sex	Weight.g	Weight.mg	Length.mm	Body.Size	Mortality	Total.Worm.Count	Flagged	notes	fecal.sample.number	gut.sample.number	adultworm.count	larvalworm.count	notes.dissection	PLATE	WELL
f1	1	0	0	0	0	M	0.37	370	32	1.129150391	0	0			f1	g1				P1	B1
f2	1	0	0	0	0	F	0.61	610	37	1.204272205	0	0	0		f2	g2				P1	C1
f3	1	0	0	0	0	M	0.29	290	33	0.806967749	0	0	0		f3	g3				P1	D1
f4	1	14	0	0	0	F	0.46	460	32.5	1.340009103	0	0	0		f4	g4				P1	B10
f5	1	14	0	0	0	F	0.34	340	33	0.94610012	0	0	0		f5	g5				P1	C10
f6	1	14	0	0	0	M	0.49	490	37	0.967366197	0	0	0		f6	g6				P1	D10
f7	1	18	0	0	0	M	0.4	400	33	1.113058964	0	0	0		f7	g7			"Not very full gut, mushy gut"	P2	D7
f8	1	18	0	0	0	F	0.61	610	38	1.111678087	0	0	0		f8	g8				P2	E7
f9	1	18	0	0	0	M	0.29	290	32	0.885009766	0	0	0		f9	g9			Not very full gut	P2	F7
f10	1	25	0	0	0	M	0.41	410	34	1.043150824	0	0	0		f10	g10				P3	F4
f11	1	25	0	0	0	F	0.45	450	34	1.144921636	0	0	0		f11	g11				P3	G4
f12	1	25	0	0	0	M	0.41	410	35	0.956268222	0	0	0		f12	g12				P3	H4
f13	1	29	0	0	0	M	0.43	430	34	1.09403623	0	0	0		f13	g13				P5	C4
f14	1	29	0	0	0	F	0.59	590	36	1.26457476	0	0	0		f14	g14				P5	D4
f15	1	29	0	0	0	M	0.36	360	33	1.001753068	0	0	0		f15	g15				P5	E4
f16	1	60	0	0	0	M	0.36	360	31	1.20841865	0	0	0		f16	g16				P4	H1
f17	1	60	0	0	0	F	0.47	470	35	1.096209913	0	0	0		f17	g17				P4	A2
f18	1	60	0	0	0	F	0.51	510	35	1.189504373	0	0	0		f18	g18			In tube 80	P4	B2
f19	1	60	0	0	0	F	0.46	460	36	0.985939643	0	0	0		f19	g19				P4	C2
