Genus,mean_relative_abundance,rank
Aeromonas,0.6828973664072029,1
Pseudomonas,0.05595532780299208,2
Culicoidibacter,0.03654986549523454,3
Cetobacterium,0.016268449448055257,4
Shewanella,0.013068414619523933,5
Paracoccaceae Genus,0.011107165912854546,6
Phreatobacter,0.009073950312578731,7
Mycobacterium,0.007108402928886851,8
Dechloromonas,0.006206365560771109,9
Niveibacterium,0.005435573464206888,10
Haliangiaceae Genus,0.005398689623809662,11
Undibacterium,0.005364077871047435,12
Flavobacterium,0.005148463795582662,13
Chitinilyticum,0.004805746415499766,14
Comamonadaceae Genus,0.004467254451742324,15
Nocardia,0.004090810766316043,16
Haliscomenobacter,0.003821824720922389,17
Gammaproteobacteria Genus,0.003775743957771869,18
Gemmobacter,0.0035955041581351753,19
Sphaerotilus,0.003428017665543167,20
Chryseotalea,0.0034058425213474,21
Luteimonas,0.003364666563522248,22
Pseudoduganella,0.00330854878329558,23
Rhodococcus,0.0032980758591643227,24
env.OPS 17 Genus,0.003227983287009528,25
Paenirhodobacter,0.003207790842557371,26
Cytophagales Genus,0.0030544394071373984,27
Dinghuibacter,0.0025854873276105147,28
Hyphomicrobiales Incertae Sedis Genus,0.0025849901779567107,29
Tundrisphaera,0.0025609350467099916,30
Cellvibrio,0.002510144504110029,31
Vogesella,0.0023428749312755614,32
Gemmataceae Genus,0.0023015316927193627,33
Fluviicola,0.0022897132387516557,34
Vibrio,0.0021564182865236982,35
Aurantisolimonas,0.002098588938800189,36
Acinetobacter,0.002042090584504873,37
Bacteroidia Genus,0.002023225766793097,38
Aquabacterium,0.0019423227693659993,39
Fuscovulum,0.0018303170936656665,40
Gordonia,0.001748784710799592,41
Clostridium,0.0017111694450795416,42
Roseomonas,0.001484959292361129,43
Pedosphaeraceae Genus,0.0014571356964116911,44
Rubrivivax,0.0014558176468470448,45
Sutterellaceae Genus,0.0014517783462682872,46
Emticicia,0.001451448809625574,47
Stenotrophomonas,0.0013707351587102501,48
Ensifer,0.0012917811526089484,49
Acidovorax,0.0011964113484708868,50
Runella,0.0010645473094392718,51
OM190 Genus,0.0010300198829361325,52
Rhizobiaceae Genus,0.0010057100869855738,53
Saprospiraceae Genus,9.896548222698726e-4,54
Vampirovibrionaceae Genus,9.761433060341502e-4,55
Gemmata,9.49121440311927e-4,56
Rhizobium,9.285932999041936e-4,57
Bosea,9.150679978837663e-4,58
Cloacibacterium,8.908098649190394e-4,59
Bdellovibrio,8.700377809592886e-4,60
Elstera,8.668406174181439e-4,61
Devosia,8.175436536010532e-4,62
Sphingorhabdus,8.155365132542684e-4,63
Fimbriiglobus,7.748109834925534e-4,64
Legionella,7.598245697557185e-4,65
Brevifollis,7.313541354146193e-4,66
Pseudobdellovibrionaceae Genus,7.204831799458269e-4,67
Nocardioides,7.14520872281559e-4,68
SH-PL14,6.842187459092076e-4,69
Agromyces,6.823060319362959e-4,70
Agitococcus,6.54311443457448e-4,71
SH3-11,6.463848448150636e-4,72
Aquihabitans,6.260622078079508e-4,73
Longivirga,6.255364972452805e-4,74
Bradyrhizobium,5.989821855382179e-4,75
Crenobacter,5.943776944182424e-4,76
Nitrosomonas,5.751201567279659e-4,77
Deinococcus,5.25630852260739e-4,78
Telmatocola,5.003018260721148e-4,79
Nitrospira,4.823002387670101e-4,80
Gracilibacteria Genus,4.7211282914602897e-4,81
11-24 Genus,4.70407878454511e-4,82
Rhodocyclaceae Genus,4.564522869705915e-4,83
Pedomicrobium,4.364269928039704e-4,84
Pirellula,4.324497309582053e-4,85
Rhodovastum,4.18372361249369e-4,86
Ferruginibacter,4.112705522307778e-4,87
JG30-KF-CM45 Genus,4.077132867975113e-4,88
Acetobacteroides,3.9345664577524327e-4,89
Pir4 lineage,3.6874398041750845e-4,90
Microtrichales Genus,3.6188901575034943e-4,91
Pajaroellobacter,3.593238902903484e-4,92
Chlamydiales Genus,3.5884203540906723e-4,93
Sporomusaceae Genus,3.551321165299238e-4,94
Delftia,3.49284668525275e-4,95
67-14 Genus,3.482630711991009e-4,96
Barnesiellaceae Genus,3.4153268865816583e-4,97
NS9 marine group Genus,3.3095801491288664e-4,98
Luteolibacter,3.2972630356154897e-4,99
Candidatus Obscuribacter,3.1230897434019063e-4,100
Verrucomicrobiaceae Genus,2.875133937124957e-4,101
Glutamicibacter,2.8677125884371665e-4,102
Novosphingobium,2.8650441191111875e-4,103
Streptococcus,2.784343814537211e-4,104
Microscillaceae Genus,2.7506911348092547e-4,105
Sediminibacterium,2.7440188192562424e-4,106
Hassallia,2.65099519435505e-4,107
Turneriella,2.5657924570679817e-4,108
PeM15 Genus,2.4663707305429565e-4,109
Cypionkella,2.2709471356407865e-4,110
AAP99,2.2008189315028947e-4,111
Arthrospira PCC-7345,2.200280236501654e-4,112
Pseudobdellovibrio,2.1982101838004635e-4,113
Paucibacter,2.1934787924909129e-4,114
Reyranella,2.0737095389480883e-4,115
Verrucomicrobiia Genus,2.011114179306345e-4,116
0319-6G20 Genus,1.9566585405558377e-4,117
Caulobacter,1.9485201680304615e-4,118
Candidatus Alysiosphaera,1.9247138011234684e-4,119
Chitinophagaceae Genus,1.9195802860886055e-4,120
Blastococcus,1.9102342322869983e-4,121
Chitinivorax,1.8751102125438368e-4,122
alphaI cluster,1.836489084078349e-4,123
Leeia,1.7739959020990446e-4,124
Halomonas,1.7453810859835133e-4,125
Vicinamibacteraceae Genus,1.7335725103541304e-4,126
IMCC26207,1.727234940872304e-4,127
Sandaracinaceae Genus,1.6959969484629578e-4,128
Blastocatella,1.6862563992696056e-4,129
Azospira,1.6803570138789755e-4,130
Hirschia,1.670342818721822e-4,131
Polymorphobacter,1.6602771641128627e-4,132
BIrii41 Genus,1.6308595735785465e-4,133
Hyphomicrobium,1.6246435006116196e-4,134
Kinneretia,1.6136361958723935e-4,135
SWB02,1.5726226739085482e-4,136
