"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Aeromonas"	"Treatment"	"A- T+ P+"	"TreatmentA- T+ P+"	0.637840104803382	-1.12763606749783	0.34245184221386	1.46068477397528e-05	0.00489329399281719	1.46068477397528e-05	0.00252211570973065	NA	"abundance"	235	235
"Aeromonas"	"Treatment"	"A+ T- P+"	"TreatmentA+ T- P+"	0.584861646281476	-1.15425610962423	0.334591721822832	1.07992693173291e-05	0.00489329399281719	1.07992693173291e-05	0.00252211570973065	NA	"abundance"	235	235
"Aeromonas"	"Treatment"	"A+ T+ P+"	"TreatmentA+ T+ P+"	0.741377515008053	-1.16795309095968	0.366956810880759	5.90563430635105e-06	0.00489329399281719	5.90563430635105e-06	0.00252211570973065	NA	"abundance"	235	235
"Roseomonas"	"Treatment"	"A- T+ P-"	"TreatmentA- T+ P-"	-6.24242429517889	0	1.51451228023018	3.76023123243207e-05	0.00944758097148556	7.52032107147492e-05	0.00973881578756002	NA	"prevalence"	235	181
"Gemmataceae Genus"	"Treatment"	"A- T+ P-"	"TreatmentA- T+ P-"	-5.42898125870366	0	1.35689602709834	6.3067449504623e-05	0.0126765573504292	0.000126130921506059	0.0130671634680277	NA	"prevalence"	235	157
"Roseomonas"	"Treatment"	"A+ T- P+"	"TreatmentA+ T- P+"	-13.2534646020174	0	3.39537743659765	9.48567184285519e-05	0.0158885003367824	0.000189704439060073	0.0163778165721863	NA	"prevalence"	235	181
"Acinetobacter"	"Treatment"	"A- T- P+"	"TreatmentA- T- P+"	2.94837768165199	0	0.809052505966953	0.00026818801045998	0.0385041357874686	0.000536304096111006	0.030867280198389	NA	"prevalence"	235	136
"Aeromonas"	"Treatment"	"A+ T+ P-"	"TreatmentA+ T+ P-"	0.644277930766915	-1.0557733188729	0.433171124126558	0.000377373879900367	0.0402039118524294	0.000377373879900367	0.0279256671126272	NA	"abundance"	235	235
"Ensifer"	"Treatment"	"A- T+ P-"	"TreatmentA- T+ P-"	-4.79945147223067	0	1.35575499329036	0.00040003892390477	0.0402039118524294	0.000799917816668902	0.0345297857528743	NA	"prevalence"	235	159
"Gemmataceae Genus"	"Treatment"	"A+ T- P+"	"TreatmentA+ T- P+"	-10.669224687734	0	3.00633736849972	0.000386827345555507	0.0402039118524294	0.000773505055715744	0.0345297857528743	NA	"prevalence"	235	157
"Vampirovibrionaceae Genus"	"Treatment"	"A- T+ P-"	"TreatmentA- T+ P-"	-7.16807416788062	0	2.05899434849357	0.000498898378005096	0.0455811699904656	0.000498898378005096	0.030867280198389	NA	"prevalence"	235	111
"Roseomonas"	"Treatment"	"A+ T+ P+"	"TreatmentA+ T+ P+"	-15.9522230412484	0	4.62104309641238	0.000556277150370676	0.0465882113435441	0.00111224485647333	0.0415508309979171	NA	"prevalence"	235	181
"Rhodocyclaceae Genus"	"Treatment"	"A- T- P+"	"TreatmentA- T- P+"	5.14763707079121	0	1.50450705797585	0.000622818745443307	0.0481486799361941	0.000622818745443307	0.0322620110139633	NA	"prevalence"	235	66
"Roseomonas"	"Treatment"	"A+ T- P-"	"TreatmentA+ T- P-"	-9.32905567980722	0	2.7980635808095	0.000855723787629712	0.0614287433262758	0.00171071531205871	0.0553844082279007	NA	"prevalence"	235	181
"Gemmataceae Genus"	"Treatment"	"A+ T- P-"	"TreatmentA+ T- P-"	3.3935516402786	-0.399086654331889	0.817915835119304	0.00119047781311807	0.0622283572241916	0.00237953838881261	0.0564116496999978	NA	"abundance"	235	157
"Nocardia"	"Treatment"	"A- T+ P+"	"TreatmentA- T+ P+"	1.43775795799853	-1.12763606749783	0.744580094978809	0.0011315109433921	0.0622283572241916	0.00226174156976919	0.0564116496999978	NA	"abundance"	235	159
"Pseudomonas"	"Treatment"	"A+ T+ P+"	"TreatmentA+ T+ P+"	1.71484716505892	-1.16795309095968	0.702347277203984	0.00112299543237614	0.0622283572241916	0.00112299543237614	0.0415508309979171	NA	"abundance"	235	235
"Chitinilyticum"	"Treatment"	"A- T+ P-"	"TreatmentA- T+ P-"	-7.20057249458025	0	2.1953808714465	0.00103853481764268	0.0622283572241916	0.00207599108071791	0.0564116496999978	NA	"prevalence"	235	216
"Gordonia"	"Treatment"	"A+ T- P+"	"TreatmentA+ T- P+"	-8.34345024722954	0	2.56193319959633	0.00112715121326433	0.0622283572241916	0.00225303195667109	0.0564116496999978	NA	"prevalence"	235	105
