"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Culicoidibacter"	"percent_mortality"	"percent_mortality"	"percent_mortality"	-0.0763216398720363	-0.00142407006561196	0.00821961606353692	8.88178419700125e-16	1.29674049276218e-13	8.88178419700125e-16	6.57252030578093e-14	NA	"abundance"	235	228
"Shewanella"	"percent_mortality"	"percent_mortality"	"percent_mortality"	-0.0542696499023396	-0.00142407006561196	0.00634450269026928	6.46926956449079e-13	4.72256678207827e-11	6.46926956449079e-13	2.39362973886159e-11	NA	"abundance"	235	222
"Cetobacterium"	"percent_mortality"	"percent_mortality"	"percent_mortality"	-0.0448298384161886	-0.00142407006561196	0.0068807145082428	1.68870162298163e-08	8.21834789851058e-07	1.68870162298163e-08	4.16546400335468e-07	NA	"abundance"	235	211
"Sutterellaceae Genus"	"percent_mortality"	"percent_mortality"	"percent_mortality"	-0.0371463370881124	0	0.00723754077834325	2.85990324015542e-07	1.04386468265673e-05	5.71980566240618e-07	1.05816404754514e-05	NA	"prevalence"	235	171
"Flavobacterium"	"percent_mortality"	"percent_mortality"	"percent_mortality"	-0.0397833181335679	0	0.00787390898890828	4.35950392701717e-07	1.27297514668901e-05	8.71900595350689e-07	1.29041288111902e-05	NA	"prevalence"	235	185
"Flavobacterium"	"percent_mortality"	"percent_mortality"	"percent_mortality"	-0.0359885429020273	-0.00142407006561196	0.00674955177811646	4.02239661656534e-06	9.78783176697565e-05	8.71900595350689e-07	1.29041288111902e-05	NA	"abundance"	235	185
"Clostridium"	"percent_mortality"	"percent_mortality"	"percent_mortality"	0.0341027328417848	0	0.0074833401570538	5.18514300977051e-06	0.000108147268489499	1.0370259133833e-05	0.000127899862650607	NA	"prevalence"	235	150
"Cloacibacterium"	"percent_mortality"	"percent_mortality"	"percent_mortality"	0.0242541616883668	0	0.00644221482513847	0.00016662950613881	0.00304098848703329	0.000333231246885305	0.00352273032421608	NA	"prevalence"	235	85
"Acinetobacter"	"percent_mortality"	"percent_mortality"	"percent_mortality"	-0.0219119941431711	0	0.00630311074350421	0.000508235816723354	0.00824471436017886	0.00101621332980131	0.00835553182281075	NA	"prevalence"	235	136
"Vogesella"	"percent_mortality"	"percent_mortality"	"percent_mortality"	0.0492554866197952	-0.00142407006561196	0.0142297538202766	0.000826264769493212	0.0118135175953514	0.000826264769493212	0.00764294911781221	NA	"abundance"	235	71
"Chitinilyticum"	"percent_mortality"	"percent_mortality"	"percent_mortality"	-0.0224094717983197	-0.00142407006561196	0.0058629885536418	0.00134363914998215	0.0147353776233018	0.00134363914998215	0.0090390270089708	NA	"abundance"	235	216
"Clostridium"	"percent_mortality"	"percent_mortality"	"percent_mortality"	0.0270899356176036	-0.00142407006561196	0.00829446924555824	0.00141298141593305	0.0147353776233018	1.0370259133833e-05	0.000127899862650607	NA	"abundance"	235	150
"Niveibacterium"	"percent_mortality"	"percent_mortality"	"percent_mortality"	0.0257821745948232	-0.00142407006561196	0.00781967001187191	0.00122346419870722	0.0147353776233018	0.00122346419870722	0.0090390270089708	NA	"abundance"	235	164
"Fluviicola"	"percent_mortality"	"percent_mortality"	"percent_mortality"	-0.019717642583122	0	0.00625509170746881	0.00162014853779225	0.0147838554073543	0.00323767219429999	0.0184298263367846	NA	"prevalence"	235	138
"Longivirga"	"percent_mortality"	"percent_mortality"	"percent_mortality"	0.020524137524188	0	0.00647750468584887	0.00153214409546746	0.0147838554073543	0.00306194072540565	0.0184298263367846	NA	"prevalence"	235	134
"Undibacterium"	"percent_mortality"	"percent_mortality"	"percent_mortality"	0.0193945693363452	0	0.00635247937938328	0.00226512485243066	0.019453425203228	0.00452511891426423	0.0239184856896823	NA	"prevalence"	235	127
"Bdellovibrio"	"percent_mortality"	"percent_mortality"	"percent_mortality"	-0.0183623770106482	0	0.00648075399036078	0.00460599700151092	0.0336237781110297	0.00919077879464392	0.0400069194590382	NA	"prevalence"	235	96
