"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Cloacibacterium"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-3.37874036681699	0	0.413427961402701	3.02061565845717e-16	4.34968654817832e-14	6.04123131691434e-16	4.47051117451661e-14	NA	"prevalence"	235	85
"env.OPS 17 Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	1.67786257950014	0	0.305359537926744	3.91349546738318e-08	2.81771673651589e-06	7.82699078161187e-08	2.89598658919639e-06	NA	"prevalence"	235	113
"Comamonadaceae Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	1.58014261193241	0	0.294579170634003	8.13683872626491e-08	3.90568258860716e-06	1.62736767904484e-07	4.0141736083106e-06	NA	"prevalence"	235	131
"Flavobacterium"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	2.15678211710681	0	0.409634114868046	1.40080418464975e-07	5.04289506473908e-06	2.80160817307425e-07	5.18297512018737e-06	NA	"prevalence"	235	185
"Bdellovibrio"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	1.51801122603282	0	0.308171453776102	8.3987626152712e-07	2.41884363319811e-05	1.67975181766211e-06	2.48603269013992e-05	NA	"prevalence"	235	96
"Acinetobacter"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	1.4470558412497	0	0.29699634449777	1.10305461760502e-06	2.64733108225205e-05	2.20610801848055e-06	2.72086655612602e-05	NA	"prevalence"	235	136
"Fuscovulum"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	1.40096082891583	0	0.308298771987153	5.51531556373461e-06	0.0001060224154506	1.10306007087635e-05	0.000108967161629902	NA	"prevalence"	235	93
"NS9 marine group Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	1.67784438710804	0	0.37036094377608	5.89013419169997e-06	0.0001060224154506	1.17802336897191e-05	0.000108967161629902	NA	"prevalence"	235	60
"Chryseotalea"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	1.28121856823801	0	0.288727346696766	9.10229460888615e-06	0.000145636713742178	1.82045063660052e-05	0.000149681496787153	NA	"prevalence"	235	139
"Rhizobium"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-1.21651580446395	0	0.283851097455501	1.82120926529523e-05	0.000262254134202514	3.64238536255859e-05	0.000269536516829336	NA	"prevalence"	235	114
"Vampirovibrionaceae Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	1.19842023551455	0	0.28829322333976	3.22525909685372e-05	0.000422215736315396	6.45041417074501e-05	0.000397775540529276	NA	"prevalence"	235	111
"Vogesella"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	6.17461988449201	0	1.51253919727705	4.45945783204068e-05	0.000535134939844881	4.45945783204068e-05	0.0002999998905191	NA	"prevalence"	235	71
"Bradyrhizobium"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-1.13497051012193	0	0.285885075100244	7.1865497269737e-05	0.000796048585141702	0.000143725829889776	0.000816232811408802	NA	"prevalence"	235	106
"Rubrivivax"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	1.10732878388247	0	0.281954396263337	8.58930477294925e-05	0.00088347134807478	0.000171778717843337	0.000847441674693794	NA	"prevalence"	235	118
"Pseudomonas"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	1.17576139948054	-0.512229675774966	0.346030884591512	0.000154422423780044	0.00148245526828842	0.000154422423780044	0.000816232811408802	NA	"abundance"	235	235
"Cloacibacterium"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-3.07273330667993	-0.512229675774966	0.576962030565696	0.000174730278931242	0.00157257251038118	6.04123131691434e-16	4.47051117451661e-14	NA	"abundance"	235	85
"Rhodocyclaceae Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	5.51459494301313	0	1.49885382286696	0.000233959417021497	0.00198177388535856	0.000233959417021497	0.00108206230372442	NA	"prevalence"	235	66
