"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Cloacibacterium"	"HistoryLevel_f"	"One prior stressor"	"HistoryLevel_fOne prior stressor"	2.39603060407128	0	0.590691739761103	4.98534341151039e-05	0.00306532552268518	9.97043828653147e-05	0.00310723473416109	NA	"prevalence"	235	85
"Flavobacterium"	"HistoryLevel_f"	"One prior stressor"	"HistoryLevel_fOne prior stressor"	-3.05208113585201	0	0.754669699947822	5.24884507309106e-05	0.00306532552268518	0.000104974146424361	0.00310723473416109	NA	"prevalence"	235	185
"Flavobacterium"	"HistoryLevel_f"	"Two prior stressors"	"HistoryLevel_fTwo prior stressors"	-5.21790158682838	0	1.25514068085571	3.22137395305773e-05	0.00306532552268518	6.44264413361401e-05	0.00310723473416109	NA	"prevalence"	235	185
"Rhodocyclaceae Genus"	"HistoryLevel_f"	"One prior stressor"	"HistoryLevel_fOne prior stressor"	-3.31468221937644	0	0.809668488204594	4.24221634387642e-05	0.00306532552268518	8.48425272375776e-05	0.00310723473416109	NA	"prevalence"	235	66
"Vampirovibrionaceae Genus"	"HistoryLevel_f"	"One prior stressor"	"HistoryLevel_fOne prior stressor"	-2.70591357228038	0	0.667252757600816	5.00688863337627e-05	0.00306532552268518	0.000100135265774147	0.00310723473416109	NA	"prevalence"	235	111
"Ensifer"	"HistoryLevel_f"	"One prior stressor"	"HistoryLevel_fOne prior stressor"	-2.26667150926328	0	0.591793962140596	0.000128054734611405	0.00578096697129977	0.000256093071207753	0.00512728320577247	NA	"prevalence"	235	159
"Rhodocyclaceae Genus"	"HistoryLevel_f"	"Two prior stressors"	"HistoryLevel_fTwo prior stressors"	-4.98890702984188	0	1.30919061016778	0.000138584824654447	0.00578096697129977	0.000277150443555269	0.00512728320577247	NA	"prevalence"	235	66
"Vogesella"	"HistoryLevel_f"	"Two prior stressors"	"HistoryLevel_fTwo prior stressors"	-4.28925774573426	0	1.14430157144187	0.000177992472496368	0.00649672524611743	0.000355953263672471	0.00585345366928063	NA	"prevalence"	235	71
"Aeromonas"	"HistoryLevel_f"	"Two prior stressors"	"HistoryLevel_fTwo prior stressors"	0.49678957927688	-0.646807651606674	0.276961427585122	0.000218009518981844	0.00707319772696649	0.000218009518981844	0.00512728320577247	NA	"abundance"	235	235
"Rhizobiaceae Genus"	"HistoryLevel_f"	"One prior stressor"	"HistoryLevel_fOne prior stressor"	2.15535996650575	0	0.588928997766899	0.00025241615795757	0.00737055181236105	0.000504768601998342	0.00679143209961406	NA	"prevalence"	235	125
"Sutterellaceae Genus"	"HistoryLevel_f"	"One prior stressor"	"HistoryLevel_fOne prior stressor"	-2.18971598233861	0	0.606901367872787	0.000308535444488266	0.00819021361732488	0.000616975694856026	0.00760936690322432	NA	"prevalence"	235	171
"Aeromonas"	"HistoryLevel_f"	"One prior stressor"	"HistoryLevel_fOne prior stressor"	0.279858044611973	-0.57297269656001	0.208403507197638	0.000396123500251264	0.00963900517278076	0.000396123500251264	0.00586262780371871	NA	"abundance"	235	235
