"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Aeromonas"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	0.253290400469236	-0.356171319365613	0.135084919889737	7.6259969493089e-05	0.0055669777729955	7.6259969493089e-05	0.00311710519217423	NA	"abundance"	235	235
"Flavobacterium"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	-2.59700426310614	0	0.63411003884785	4.21239303502437e-05	0.0055669777729955	8.42460862749793e-05	0.00311710519217423	NA	"prevalence"	235	185
"Cloacibacterium"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	1.95901523746645	0	0.531895349386564	0.000230429209251334	0.00841066613767371	0.000460805320882193	0.00852489843632057	NA	"prevalence"	235	85
"Vogesella"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	-2.16752645389107	0	0.579923721406977	0.000185780680764274	0.00841066613767371	0.000371526847067203	0.00852489843632057	NA	"prevalence"	235	71
"Rhodocyclaceae Genus"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	-2.17573467685876	0	0.600579330648264	0.000291513967989133	0.00851220786528268	0.000582942955584733	0.00862755574265405	NA	"prevalence"	235	66
"Acinetobacter"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	-1.75524678797739	0	0.509127095278099	0.000565672364410259	0.0129246373459161	0.00113102474359666	0.0130964679568262	NA	"prevalence"	235	136
"Rhizobiaceae Genus"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	1.73871019735953	0	0.508597653448348	0.000629358802440266	0.0129246373459161	0.00125832151237832	0.0130964679568262	NA	"prevalence"	235	125
"Sutterellaceae Genus"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	-1.91252793809831	0	0.564788359700905	0.000708486972215123	0.0129246373459161	0.00141647199064045	0.0130964679568262	NA	"prevalence"	235	171
"Undibacterium"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	1.71052386398747	0	0.510005783822296	0.000796724219953735	0.0129246373459161	0.00159281367042481	0.0130964679568262	NA	"prevalence"	235	127
"Telmatocola"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	1.85627440786192	0	0.570529511230732	0.00113952898269869	0.0166371231474009	0.00227775943909497	0.0168554198493028	NA	"prevalence"	235	61
"Ensifer"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	-1.71030661551393	0	0.533423787953588	0.00134462560300755	0.0178468489126457	0.00268744318800284	0.0180791632647464	NA	"prevalence"	235	159
"Cellvibrio"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	-1.47115153053167	0	0.572600702132187	0.0101920351357958	0.124003094152182	0.0202801926913822	0.125061188263524	NA	"prevalence"	235	178
"Mycobacterium"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	2.21291324024406	0	0.90750016700702	0.0147495240924386	0.165648501345849	0.0292814997239238	0.166679306120797	NA	"prevalence"	235	213
"Chitinilyticum"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	-2.07001299920235	0	0.878281476689727	0.0184286953399102	0.190288358560898	0.0365177738678891	0.19100948254108	NA	"prevalence"	235	216
"OM190 Genus"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	1.2446804391543	0	0.533083229316597	0.0195501738247498	0.190288358560898	0.0387181383529217	0.19100948254108	NA	"prevalence"	235	70
"Sphaerotilus"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	-1.5898870177322	-0.356171319365613	0.533318288222473	0.0262461010977834	0.239495672517273	0.0518033443727317	0.239590467723884	NA	"abundance"	235	49
"Bacteroidia Genus"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	-1.2673146113896	-0.356171319365613	0.424061205071337	0.0367561470280715	0.310087150567904	0.0721612797117939	0.301387993218113	NA	"abundance"	235	85
"Rubrivivax"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	0.25321944053454	-0.356171319365613	0.258338689592121	0.0388742472329164	0.310087150567904	0.0762372873679069	0.301387993218113	NA	"abundance"	235	118
"Phreatobacter"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	3.29735648616762	0	1.60838115572207	0.0403538072656862	0.310087150567904	0.0790791847705362	0.301387993218113	NA	"prevalence"	235	228
"SH3-11"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	0.247613527386553	-0.356171319365613	0.274572799995103	0.0515739946470885	0.376490160923746	0.100488112370319	0.323309578930592	NA	"abundance"	235	115
"Fluviicola"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	0.702073221587952	-0.356171319365613	0.506521497463832	0.0575769486789538	0.382101568505784	0.111838792338729	0.331042825322637	NA	"abundance"	235	138
"Haliscomenobacter"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	-1.2871018898275	-0.356171319365613	0.460502910435198	0.0567708912343109	0.382101568505784	0.110318848377084	0.331042825322637	NA	"abundance"	235	95
"Haliscomenobacter"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	0.904175869481372	0	0.496973547303673	0.068855888036247	0.437085202317046	0.110318848377084	0.331042825322637	NA	"prevalence"	235	95
"Longivirga"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	0.158393658444591	-0.356171319365613	0.268591337246781	0.0726898675910802	0.442196694512405	0.140095918331752	0.370253498448201	NA	"abundance"	235	134
