"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Aeromonas"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	0.253290400469236	-0.356171319365613	0.135084919889737	7.6259969493089e-05	0.0055669777729955	7.6259969493089e-05	0.00311710519217423	NA	"abundance"	235	235
"Flavobacterium"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	-2.59700426310614	0	0.63411003884785	4.21239303502437e-05	0.0055669777729955	8.42460862749793e-05	0.00311710519217423	NA	"prevalence"	235	185
"Cloacibacterium"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	1.95901523746645	0	0.531895349386564	0.000230429209251334	0.00841066613767371	0.000460805320882193	0.00852489843632057	NA	"prevalence"	235	85
"Vogesella"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	-2.16752645389107	0	0.579923721406977	0.000185780680764274	0.00841066613767371	0.000371526847067203	0.00852489843632057	NA	"prevalence"	235	71
"Rhodocyclaceae Genus"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	-2.17573467685876	0	0.600579330648264	0.000291513967989133	0.00851220786528268	0.000582942955584733	0.00862755574265405	NA	"prevalence"	235	66
"Acinetobacter"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	-1.75524678797739	0	0.509127095278099	0.000565672364410259	0.0129246373459161	0.00113102474359666	0.0130964679568262	NA	"prevalence"	235	136
"Rhizobiaceae Genus"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	1.73871019735953	0	0.508597653448348	0.000629358802440266	0.0129246373459161	0.00125832151237832	0.0130964679568262	NA	"prevalence"	235	125
"Sutterellaceae Genus"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	-1.91252793809831	0	0.564788359700905	0.000708486972215123	0.0129246373459161	0.00141647199064045	0.0130964679568262	NA	"prevalence"	235	171
"Undibacterium"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	1.71052386398747	0	0.510005783822296	0.000796724219953735	0.0129246373459161	0.00159281367042481	0.0130964679568262	NA	"prevalence"	235	127
"Telmatocola"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	1.85627440786192	0	0.570529511230732	0.00113952898269869	0.0166371231474009	0.00227775943909497	0.0168554198493028	NA	"prevalence"	235	61
"Ensifer"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	-1.71030661551393	0	0.533423787953588	0.00134462560300755	0.0178468489126457	0.00268744318800284	0.0180791632647464	NA	"prevalence"	235	159
"Vogesella"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	0.904865461855051	-0.356171319365613	0.787063693113713	0.135556799390936	0.531545417925372	0.000371526847067203	0.00852489843632057	NA	"abundance"	235	71
"Cloacibacterium"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	0.449308308504879	-0.356171319365613	0.596633251329596	0.199519486740983	0.57117343263105	0.000460805320882193	0.00852489843632057	NA	"abundance"	235	85
"Rhodocyclaceae Genus"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	0.280603508771392	-0.356171319365613	0.479263330412046	0.226464599424791	0.58428989339042	0.000582942955584733	0.00862755574265405	NA	"abundance"	235	66
"Ensifer"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	-0.174468222618423	-0.356171319365613	0.271530790263141	0.516057807497834	0.875962868283614	0.00268744318800284	0.0180791632647464	NA	"abundance"	235	159
"Flavobacterium"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	-0.638163691240396	-0.356171319365613	0.426112126779632	0.514825516524746	0.875962868283614	8.42460862749793e-05	0.00311710519217423	NA	"abundance"	235	185
"Sutterellaceae Genus"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	0.00839127992577156	-0.356171319365613	0.493051607197864	0.472850448398248	0.875962868283614	0.00141647199064045	0.0130964679568262	NA	"abundance"	235	171
"Telmatocola"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	-0.584972993516147	-0.356171319365613	0.476550821492574	0.633729080751123	0.934590361511757	0.00227775943909497	0.0168554198493028	NA	"abundance"	235	61
"Rhizobiaceae Genus"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	-0.424360595487101	-0.356171319365613	0.234819963527633	0.777582965503912	0.95678659370212	0.00125832151237832	0.0130964679568262	NA	"abundance"	235	125
"Acinetobacter"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	-0.354019637038199	-0.356171319365613	0.680947779081706	0.997489819858989	0.998365260859137	0.00113102474359666	0.0130964679568262	NA	"abundance"	235	136
"Undibacterium"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	-0.3384882019019	-0.356171319365613	0.373813664963848	0.96246138884205	0.998365260859137	0.00159281367042481	0.0130964679568262	NA	"abundance"	235	127
"Aeromonas"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	NA	0	NA	NA	NA	7.6259969493089e-05	0.00311710519217423	"All logistic values are the same"	"prevalence"	235	235
