"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"env.OPS 17 Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	2.2876639829672	0	0.515112394117434	8.95015374215729e-06	0.00218165805447571	1.79002273790626e-05	0.00224224834338739	NA	"prevalence"	235	113
"Vampirovibrionaceae Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	2.526281844043	0	0.572202241188632	1.01002687707209e-05	0.00218165805447571	2.02004355260125e-05	0.00224224834338739	NA	"prevalence"	235	111
"Ensifer"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	-2.71951350222719	0	0.665919504908959	4.42961647115552e-05	0.00637864771846395	8.85903672729023e-05	0.00611943253780856	NA	"prevalence"	235	159
"Aeromonas"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	0.326774850292762	-0.558118124968812	0.204360763042014	0.00011026004572628	0.00952646795075063	0.00011026004572628	0.00611943253780856	NA	"abundance"	235	235
"Devosia"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	1.91426542590886	0	0.494797950679989	0.000109380362363692	0.00952646795075063	0.000218748760663712	0.00971244497346882	NA	"prevalence"	235	97
"Comamonadaceae Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	1.78492460296201	0	0.494570025580994	0.000307328396532645	0.0189665524717289	0.000614562342321974	0.015159204443942	NA	"prevalence"	235	131
"Rhizobiaceae Genus"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	2.45272250328115	0	0.679417063000026	0.000306150260192783	0.0189665524717289	0.000612206792403749	0.015159204443942	NA	"prevalence"	235	125
"Vogesella"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	6.14310462899837	0	1.72835045377505	0.0003789627826265	0.020463990261831	0.0003789627826265	0.0140216229571805	NA	"prevalence"	235	71
"Aeromonas"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.42336924495004	-0.775963710616822	0.296326432974662	0.000547595093402154	0.0236561080349731	0.000547595093402154	0.015159204443942	NA	"abundance"	235	235
"Cloacibacterium"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-2.04359776697483	0	0.590754134170065	0.000541574543497829	0.0236561080349731	0.00108285578400949	0.0240393984050108	NA	"prevalence"	235	85
"Rhizobiaceae Genus"	"Parasite_Exposed"	"Exposed:HistoryLevelNum"	"Parasite_ExposedExposed:HistoryLevelNum"	-1.54544748496517	0	0.451701081282699	0.000623009466816952	0.0244672808786294	0.00124563079283816	0.0251390941827338	NA	"prevalence"	235	125
"Devosia"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	2.09204740480078	0	0.63191147104103	0.000930744484822849	0.0335068014536226	0.00186062268434967	0.0344215196604689	NA	"prevalence"	235	97
"Acinetobacter"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	1.64186146254062	0	0.50721593655625	0.00120790511039785	0.0401396159762978	0.00241435118603998	0.0392033268406958	NA	"prevalence"	235	136
"env.OPS 17 Genus"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	2.10050833625556	0	0.658494935420145	0.00142340473127548	0.0439222031365005	0.00284478338152194	0.0421027940465247	NA	"prevalence"	235	113
"Cloacibacterium"	"Parasite_Exposed"	"Exposed:HistoryLevelNum"	"Parasite_ExposedExposed:HistoryLevelNum"	-1.89500365975549	0	0.611102609031582	0.00192895504324752	0.0555539052455285	0.00385418921893617	0.0534768754127393	NA	"prevalence"	235	85
"Pseudomonas"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	1.41992450172578	-0.775963710616822	0.604247218888213	0.00247228187283667	0.058207410015029	0.00247228187283667	0.0392033268406958	NA	"abundance"	235	235
"Rubrivivax"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	1.48242875827889	-0.775963710616822	0.565345295616964	0.002560048125661	0.058207410015029	0.0051135424049163	0.0567603206945709	NA	"abundance"	235	118
"Flavobacterium"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	-2.43982357292161	0	0.80239316173052	0.0023604188223515	0.058207410015029	0.00471526606768608	0.0550941614224374	NA	"prevalence"	235	185
"Telmatocola"	"HistoryLevelNum"	"HistoryLevelNum"	"HistoryLevelNum"	2.08185618384265	0	0.678624979099344	0.00215672286541402	0.058207410015029	0.00430879427730985	0.0545185853484334	NA	"prevalence"	235	61
"Bdellovibrio"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	1.49426249822988	0	0.50119742350642	0.00286947763265339	0.0584407043438423	0.00573072136342249	0.0573670828365935	NA	"prevalence"	235	96
"Bradyrhizobium"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-1.43693135703514	0	0.480507615164256	0.00278571743014929	0.0584407043438423	0.00556367463869794	0.0573670828365935	NA	"prevalence"	235	106
"Gemmobacter"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-1.82689511130793	0	0.615076655019595	0.00297614698047345	0.0584407043438423	0.00594343651009753	0.0573670828365935	NA	"prevalence"	235	194
"Flavobacterium"	"Parasite_Exposed"	"Exposed:HistoryLevelNum"	"Parasite_ExposedExposed:HistoryLevelNum"	1.90577701474237	0	0.649253028897244	0.00333184657939551	0.0625807705347331	0.0066525919571624	0.0615364756037522	NA	"prevalence"	235	185
