Tank.ID,Treatment,Taxon,log2_abund,percent_mortality,prevalence,rho,p_value,q_value,TaxonFacet
1,A- T- P-,Cetobacterium,-11.612969995077036,0,100,-0.5040573988664573,0.012022550589105016,0.012022550589105016,"Cetobacterium
Spearman rho = -0.5, q = 0.012
Prevalence = 100%"
1,A- T- P-,Culicoidibacter,-5.405676006729604,0,100,-0.5552507284388318,0.004854520507646155,0.006472694010194874,"Culicoidibacter
Spearman rho = -0.56, q = 0.00647
Prevalence = 100%"
1,A- T- P-,Flavobacterium,-9.068238970394654,0,95.83333333333334,-0.613444855217685,0.0014333869739413295,0.002866773947882659,"Flavobacterium
Spearman rho = -0.61, q = 0.00287
Prevalence = 96%"
1,A- T- P-,Shewanella,-9.426857128896525,0,100,-0.6178203534717341,0.0012952695877842596,0.002866773947882659,"Shewanella
Spearman rho = -0.62, q = 0.00287
Prevalence = 100%"
2,A- T- P-,Cetobacterium,-11.567891111778625,60,100,-0.5040573988664573,0.012022550589105016,0.012022550589105016,"Cetobacterium
Spearman rho = -0.5, q = 0.012
Prevalence = 100%"
2,A- T- P-,Culicoidibacter,-8.257387465818272,60,100,-0.5552507284388318,0.004854520507646155,0.006472694010194874,"Culicoidibacter
Spearman rho = -0.56, q = 0.00647
Prevalence = 100%"
2,A- T- P-,Flavobacterium,-8.965576953510391,60,95.83333333333334,-0.613444855217685,0.0014333869739413295,0.002866773947882659,"Flavobacterium
Spearman rho = -0.61, q = 0.00287
Prevalence = 96%"
2,A- T- P-,Shewanella,-11.119872689989656,60,100,-0.6178203534717341,0.0012952695877842596,0.002866773947882659,"Shewanella
Spearman rho = -0.62, q = 0.00287
Prevalence = 100%"
3,A- T- P-,Cetobacterium,-6.616871484552658,0,100,-0.5040573988664573,0.012022550589105016,0.012022550589105016,"Cetobacterium
Spearman rho = -0.5, q = 0.012
Prevalence = 100%"
3,A- T- P-,Culicoidibacter,-4.653640536240821,0,100,-0.5552507284388318,0.004854520507646155,0.006472694010194874,"Culicoidibacter
Spearman rho = -0.56, q = 0.00647
Prevalence = 100%"
