gene_id,gene_name,TaxaID,correlation,n_pairs,abs_correlation,p_value,fdr,comparison_name,base_treatment,comparison_treatment
nrros,nrros,Culicoidibacter,-0.9013940282281235,18,0.9013940282281235,3.285252774917719e-7,0.023936188355545666,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
LOC101885830,LOC101885830,Vogesella,0.897975711979809,18,0.897975711979809,4.267323044763719e-7,0.023936188355545666,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
sdr16c5a,sdr16c5a,Haliangiaceae Genus,-0.884403347816367,18,0.884403347816367,1.1089133924514562e-6,0.023936188355545666,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
selenon,selenon,Culicoidibacter,-0.8842975206611571,18,0.8842975206611571,1.1166750775335083e-6,0.023936188355545666,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
lamc3,lamc3,Vogesella,0.8825314122651686,18,0.8825314122651686,1.2532968091001325e-6,0.023936188355545666,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
aldocb,aldocb,Vogesella,0.8781187552038426,18,0.8781187552038426,1.6592300397263214e-6,0.023936188355545666,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
nom1,nom1,Culicoidibacter,-0.8755809117267455,18,0.8755809117267455,1.940426473629741e-6,0.023936188355545666,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
LOC100006250,LOC100006250,Paenirhodobacter,-0.8713810156677237,18,0.8713810156677237,2.4960775654606647e-6,0.023936188355545666,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
cdk10,cdk10,Culicoidibacter,-0.8708677685950413,18,0.8708677685950413,2.5725436694731876e-6,0.023936188355545666,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
srpk1b,srpk1b,Culicoidibacter,-0.8704182884264697,18,0.8704182884264697,2.6411560024919682e-6,0.023936188355545666,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
egr2b,egr2b,Vogesella,0.8701919358337806,18,0.8701919358337806,2.676300169689216e-6,0.023936188355545666,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
LOC103909810,LOC103909810,Vogesella,0.869293441081191,18,0.869293441081191,2.819800294686592e-6,0.023936188355545666,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
