TaxaID,n_gene_associations,n_positive,n_negative,mean_partial_r,mean_abs_partial_r
Vampirovibrionaceae Genus,170,168,2,0.6933963166837477,0.7048023369844515
Fluviicola,167,4,163,-0.4587487408484703,0.4814078214796575
Tundrisphaera,153,0,153,-0.5455958910180069,0.5455958910180069
Flavobacterium,83,1,82,-0.25766924067506347,0.2612679239142781
Paenirhodobacter,67,2,65,-0.32803963077791365,0.36093752150514696
Vogesella,46,42,4,0.18173263837788264,0.21949475631902637
Rubrivivax,31,31,0,0.6650772621379677,0.6650772621379677
Acinetobacter,30,30,0,0.6205904523970479,0.6205904523970479
Culicoidibacter,26,25,1,0.7165621610742366,0.743728549203538
Comamonadaceae Genus,14,0,14,-0.4336167890035026,0.4336167890035026
Legionella,13,5,8,-0.03565611475075128,0.5587493228591728
Rhodocyclaceae Genus,12,11,1,0.40763411540820615,0.49887543672585033
Chryseotalea,7,0,7,-0.4018873519603782,0.4018873519603782
Shewanella,6,4,2,0.19118613582794877,0.5786475629680411
SH3-11,5,5,0,0.8344457378073371,0.8344457378073371
Cetobacterium,4,0,4,-0.617672489888432,0.617672489888432
Gemmataceae Genus,4,0,4,-0.5111784529433456,0.5111784529433456
Bacteroidia Genus,4,0,4,-0.372812174931772,0.372812174931772
Ensifer,2,2,0,0.8182404686023622,0.8182404686023622
Pseudomonas,2,0,2,-0.5716996120013407,0.5716996120013407
env.OPS 17 Genus,2,0,2,-0.521587716276277,0.521587716276277
Gordonia,2,0,2,-0.5001023213187198,0.5001023213187198
Bdellovibrio,2,0,2,-0.4609061879212386,0.4609061879212386
Cloacibacterium,2,0,2,-0.4349228452886776,0.4349228452886776
Haliangiaceae Genus,2,0,2,-0.3636941326909461,0.3636941326909461
Aquihabitans,2,0,2,-0.36308822395557844,0.36308822395557844
Rhizobiaceae Genus,1,0,1,-0.375251987560097,0.375251987560097
Hyphomicrobiales Incertae Sedis Genus,1,1,0,0.136440108596869,0.136440108596869
