gene_id,TaxaID,correlation,p_value,fdr,abs_correlation,comparison_name,base_treatment,comparison_treatment
hsd3b7,Culicoidibacter,0.8830137117347987,0.00299700299700299,0.06680929689779247,0.8830137117347987,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
pank1a,Culicoidibacter,0.8741209272656411,9.99000999000999e-4,0.05354220247837269,0.8741209272656411,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
chia.3,Culicoidibacter,0.8547001264944566,0.00299700299700299,0.06680929689779247,0.8547001264944566,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
ciarta,Culicoidibacter,0.8219346227376614,0.00399600399600399,0.07294155120242077,0.8219346227376614,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
slc13a1,Culicoidibacter,0.8124453343400299,0.01198801198801198,0.09436813186813188,0.8124453343400299,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
gja13.1,Culicoidibacter,0.8066638630140462,0.00399600399600399,0.07294155120242077,0.8066638630140462,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
mtus1b,Culicoidibacter,0.794024636761667,0.00299700299700299,0.06680929689779247,0.794024636761667,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
si:dkey-286h2.3,Culicoidibacter,0.7824429106550701,0.00599400599400599,0.08296099504890714,0.7824429106550701,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
irs2a,Culicoidibacter,0.780008749312693,0.00199800199800199,0.06680929689779247,0.780008749312693,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
ulk2,Culicoidibacter,0.7512388405597447,0.00199800199800199,0.06680929689779247,0.7512388405597447,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
si:ch211-132b12.7,Culicoidibacter,0.7428643832886216,0.00399600399600399,0.07294155120242077,0.7428643832886216,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
otop2,Culicoidibacter,0.7425508304120195,0.01298701298701298,0.09565580618212198,0.7425508304120195,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
bbc3,Culicoidibacter,0.7260522860627968,9.99000999000999e-4,0.05354220247837269,0.7260522860627968,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
alp3,Culicoidibacter,0.716571491115925,0.00299700299700299,0.06680929689779247,0.716571491115925,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
cyp1a,Culicoidibacter,0.6535985443273364,0.00299700299700299,0.06680929689779247,0.6535985443273364,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
cyp4v2b,Culicoidibacter,0.6442688432497055,0.00999000999000999,0.09285917034994526,0.6442688432497055,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
gbp,Culicoidibacter,0.637638675480734,0.01098901098901099,0.09436813186813188,0.637638675480734,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
tp53inp1,Culicoidibacter,0.6159512630100684,0.01398601398601398,0.09728673388467204,0.6159512630100684,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
aatf,Culicoidibacter,-0.35316304568091933,0.00999000999000999,0.09285917034994526,0.35316304568091933,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
dhrs1,Culicoidibacter,0.812459181838398,0.00199800199800199,0.01908091908091908,0.812459181838398,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
agpat2,Culicoidibacter,0.806578420147113,0.05194805194805195,0.06360306360306361,0.806578420147113,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
retsat.1,Culicoidibacter,0.7974568471767631,0.06893106893106893,0.07480587594223957,0.7974568471767631,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
mgst3b,Culicoidibacter,0.7806507756145793,9.99000999000999e-4,0.01908091908091908,0.7806507756145793,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
ugt1ab,Culicoidibacter,0.7713101096190619,0.01098901098901099,0.04000837871805614,0.7713101096190619,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
cyp46a1.1,Culicoidibacter,0.7379553890474505,0.01498501498501498,0.04271847555429645,0.7379553890474505,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
ugt1a2,Culicoidibacter,0.6372784703446888,0.00199800199800199,0.01908091908091908,0.6372784703446888,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
