SYMBOL,ENTREZID
ap2a1,558153
iqgap1,100002928
fbxo44.3,767635
xrcc4,393759
si:ch211-156b7.4,561086
mrps26,436691
psma5,403011
vcp,327197
zgc:113425,541425
anp32a,335907
gstm.3,568744
psmc6,321585
hmgb2a,641484
atp6v1ba,359839
prpf8,393951
banf1,334717
psmg1,436987
nudcd1,553654
snrpd3,415171
ilf3b,321868
psmd11b,322265
snrnp200,799690
ube2na,406807
ap1g2,100007877
psmd14,799058
lmnb1,195816
psmc4,326884
pomp,445030
nup62l,563392
psmb3,573095
tdg.1,553789
adrm1,796450
psmc5,445285
si:ch211-218c6.8,100001903
fastkd1,100148546
cherp,337851
wdr18,445819
gzma,795070
ap1b1,562166
tbck,791155
nkrf,797627
timm10,436951
chchd4a,445144
psma6a,171585
hnrnpa1a,393467
smc1al,403060
hnrnpl2,573096
focad,100150998
wdr73,550339
hnrnpul1l,100330645
cnp,325896
hdac1,192302
med23,445483
ddx39ab,406249
srsf7a,402972
sgpp2,100330698
uqcc1,767788
fnta,555882
si:ch211-284o19.8,100007937
cpsf3,324554
hnrnpl,394074
iah1,449926
hmgn2,569904
tuba8l4,393154
anxa5b,337132
psmd13,393922
ubxn1,322073
lmnb2,30196
uchl5,406357
ccdc22,556259
ndor1,393621
ehd1b,447839
oxsr1a,568602
rbm4.3,406277
ctbp1,65229
ppm1g,368275
ppp1r8b,799896
sae1,415148
thyn1,393630
chtopa,321491
dot1l,559945
eif4ebp3l,324490
