SYMBOL,ENTREZID
hsd3b7,327462
pank1a,406789
chia.3,406819
ciarta,564009
slc13a1,387592
gja13.1,322617
mtus1b,557250
si:dkey-286h2.3,790965
irs2a,393285
ppdpfa,338304
ulk2,100329702
si:ch211-132b12.7,564531
otop2,494472
bbc3,751763
alp3,100330410
cyp1a,140634
cyp4v2b,562008
gbp,30719
tp53inp1,568021
LOC101885347,101885347
tpra,571089
pold1,556456
pmt,767699
orc1,554509
anapc2,100318335
tcea1,336105
qrich1,336260
shha,30269
tbck,791155
adap2,100331455
drosha,567505
rif1,567001
ap5s1,556111
psmd12,321898
lypla2,393722
tubgcp5,553191
rbl1,795522
lin54,560688
taco1,570857
oxsr1a,568602
hirip3,100000570
dhfr,81882
h3f3a,406269
rpa1,327491
mcmbp,321119
rilpl2,100004718
rb1,777733
nfyc,323445
ankrd28b,560747
iqgap1,100002928
cbx5,563396
nup85,445231
msh2,406845
zgpat,393457
hsbp1b,393727
atp6v1ba,359839
psmd2,393518
gemin4,324754
nup205,445382
si:ch211-130m23.2,794173
irf9,403013
ctcf,415104
psmd6,393261
bcl11ab,566491
commd6,792620
usp45,564004
tprb,558883
zgc:103508,494062
fbxo44.1,494034
psmd13,393922
si:ch73-144d13.7,555336
ap2a1,558153
smc1al,403060
ap1b1,562166
engase,561239
ist1,321460
igbp1,406843
ppp6r3,324530
ddx23,334283
cdk11b,494103
sumo3a,406398
usp5,406618
mycla,405873
mfsd5,436986
psmd4a,415202
psmc1b,415181
ftr16,562315
ash2l,558193
chmp4bb,406766
nrros,445318
pdp2,58149
atg16l1,550552
kdm8,436936
psmc2,393941
ms4a17a.6,100009643
tubb2b,641421
polr2b,100149268
itga3a,407685
rraga,325358
rmi1,393149
uba3,406776
cul2,336088
gtf2h4,334839
thop1,436628
brd7,406675
ppwd1,100000660
si:ch73-142c19.1,100142653
hnrnpul1l,100330645
sf3a3,446168
si:dkey-276j7.2,792667
rbm12bb,334496
rhogd,393653
LOC100535415,100535415
ndor1,393621
elovl1b,406725
heatr6,567838
lasp1,323216
nudt14,559149
zgc:152816,777712
cep43,415215
rap1b,321107
prpf3,403072
dnajc16l,556590
prps1b,560827
ctnna1,30741
smu1a,393168
parvg,100037387
triobpa,555479
tank,767660
mrpl21,768305
dbnlb,553729
snapin,567959
si:ch211-198a12.6,563253
smap1,777731
ppp1r11,550290
ube4b,170784
ngly1,553627
LOC137495467,137495467
ftr06,797387
tfpil,322379
dis3l2,566106
