gene_id,TaxaID,correlation,p_value,fdr,abs_correlation,comparison_name,base_treatment,comparison_treatment
hsd3b7,Culicoidibacter,0.8830137117347987,0.00299700299700299,0.06680929689779247,0.8830137117347987,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
pank1a,Culicoidibacter,0.8741209272656411,9.99000999000999e-4,0.05354220247837269,0.8741209272656411,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
chia.3,Culicoidibacter,0.8547001264944566,0.00299700299700299,0.06680929689779247,0.8547001264944566,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
ciarta,Culicoidibacter,0.8219346227376614,0.00399600399600399,0.07294155120242077,0.8219346227376614,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
slc13a1,Culicoidibacter,0.8124453343400299,0.01198801198801198,0.09436813186813188,0.8124453343400299,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
gja13.1,Culicoidibacter,0.8066638630140462,0.00399600399600399,0.07294155120242077,0.8066638630140462,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
mtus1b,Culicoidibacter,0.794024636761667,0.00299700299700299,0.06680929689779247,0.794024636761667,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
si:dkey-286h2.3,Culicoidibacter,0.7824429106550701,0.00599400599400599,0.08296099504890714,0.7824429106550701,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
irs2a,Culicoidibacter,0.780008749312693,0.00199800199800199,0.06680929689779247,0.780008749312693,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
ppdpfa,Fluviicola,0.7763308850706889,0.01598401598401598,0.09820423478960064,0.7763308850706889,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
ulk2,Culicoidibacter,0.7512388405597447,0.00199800199800199,0.06680929689779247,0.7512388405597447,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
si:ch211-132b12.7,Culicoidibacter,0.7428643832886216,0.00399600399600399,0.07294155120242077,0.7428643832886216,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
otop2,Culicoidibacter,0.7425508304120195,0.01298701298701298,0.09565580618212198,0.7425508304120195,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
bbc3,Culicoidibacter,0.7260522860627968,9.99000999000999e-4,0.05354220247837269,0.7260522860627968,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
alp3,Culicoidibacter,0.716571491115925,0.00299700299700299,0.06680929689779247,0.716571491115925,A- T- P- vs A- T- P+,A- T- P-,A- T- P+
