ID,Description,p.adjust,Count,geneID,log_padj
GO:0014866,skeletal myofibril assembly,0.03903096144939486,1,tpm3,1.408590750614114
GO:0045910,negative regulation of DNA recombination,0.03903096144939486,1,zgc:110425,1.408590750614114
GO:0030261,chromosome condensation,0.03903096144939486,1,zgc:110425,1.408590750614114
GO:0051053,negative regulation of DNA metabolic process,0.03903096144939486,1,zgc:110425,1.408590750614114
GO:0000018,regulation of DNA recombination,0.03903096144939486,1,zgc:110425,1.408590750614114
GO:0006334,nucleosome assembly,0.03903096144939486,1,zgc:110425,1.408590750614114
GO:0034728,nucleosome organization,0.03903096144939486,1,zgc:110425,1.408590750614114
GO:0015914,phospholipid transport,0.046094270079252125,1,pitpnbl,1.3363530578560268
GO:0065004,protein-DNA complex assembly,0.046094270079252125,1,zgc:110425,1.3363530578560268
GO:0071824,protein-DNA complex organization,0.046094270079252125,1,zgc:110425,1.3363530578560268
GO:0051052,regulation of DNA metabolic process,0.046094270079252125,1,zgc:110425,1.3363530578560268
GO:0030239,myofibril assembly,0.046094270079252125,1,tpm3,1.3363530578560268
GO:0015748,organophosphate ester transport,0.046094270079252125,1,pitpnbl,1.3363530578560268
GO:0010927,cellular component assembly involved in morphogenesis,0.046094270079252125,1,tpm3,1.3363530578560268
GO:0032989,cellular anatomical entity morphogenesis,0.046094270079252125,1,tpm3,1.3363530578560268
GO:0006936,muscle contraction,0.046094270079252125,1,tpm3,1.3363530578560268
GO:0003012,muscle system process,0.04691230265488257,1,tpm3,1.3287132495135971
GO:0031032,actomyosin structure organization,0.04996412630512981,1,tpm3,1.3013417024526517
GO:0006310,DNA recombination,0.051741004535281764,1,zgc:110425,1.2861651438472537
GO:0055002,striated muscle cell development,0.0562271507414563,1,tpm3,1.2500539234017656
GO:0051276,chromosome organization,0.0562271507414563,1,zgc:110425,1.2500539234017656
GO:0051146,striated muscle cell differentiation,0.0562271507414563,1,tpm3,1.2500539234017656
GO:0055001,muscle cell development,0.0562271507414563,1,tpm3,1.2500539234017656
GO:0140694,membraneless organelle assembly,0.0562271507414563,1,tpm3,1.2500539234017656
GO:0006338,chromatin remodeling,0.0562271507414563,1,zgc:110425,1.2500539234017656
GO:0006869,lipid transport,0.0562271507414563,1,pitpnbl,1.2500539234017656
GO:0010876,lipid localization,0.0562271507414563,1,pitpnbl,1.2500539234017656
GO:0007015,actin filament organization,0.05801734165208718,1,tpm3,1.2364421744006207
GO:0042692,muscle cell differentiation,0.060285752409662864,1,tpm3,1.2197853144101498
GO:0006325,chromatin organization,0.06884224119538303,1,zgc:110425,1.1621449994289665
GO:0045934,negative regulation of nucleobase-containing compound metabolic process,0.07640817726436913,1,zgc:110425,1.116860160393523
GO:0061061,muscle structure development,0.07819577329729288,1,tpm3,1.106816721150792
GO:0030036,actin cytoskeleton organization,0.08026284087065738,1,tpm3,1.0954854726533192
GO:0030029,actin filament-based process,0.08026284087065738,1,tpm3,1.0954854726533192
GO:0097435,supramolecular fiber organization,0.08026284087065738,1,tpm3,1.0954854726533192
GO:0006259,DNA metabolic process,0.08026284087065738,1,zgc:110425,1.0954854726533192
