ID,Description,p.adjust,Count,geneID,log_padj
GO:0005884,actin filament,3.104270052579074e-4,2,tpm3/actb1,3.5080405047967926
GO:0015629,actin cytoskeleton,0.007636349678220723,2,tpm3/actb1,2.117114192923127
GO:0099513,polymeric cytoskeletal fiber,0.008510933447332388,2,tpm3/actb1,2.0700228055095478
GO:0000786,nucleosome,0.02965897753035033,1,zgc:110425,1.5278438250062498
GO:0005925,focal adhesion,0.02965897753035033,1,actb1,1.5278438250062498
GO:0030055,cell-substrate junction,0.02965897753035033,1,actb1,1.5278438250062498
GO:0005802,trans-Golgi network,0.030196628736719022,1,pitpnbl,1.5200415405781762
GO:0032993,protein-DNA complex,0.03177930098252363,1,zgc:110425,1.4978556597646204
GO:0098791,Golgi apparatus subcompartment,0.04375763101422556,1,pitpnbl,1.358946198221679
GO:0070161,anchoring junction,0.07893330888415939,1,actb1,1.1027396911891727
GO:0000785,chromatin,0.07893330888415939,1,zgc:110425,1.1027396911891727
