ID,Description,p.adjust,Count,geneID,log_padj
GO:0004497,monooxygenase activity,6.625263635344648e-4,4,si:dkey-286h2.3/cyp1a/cyp4v2b/cyp46a1.1,3.1787968354141944
GO:0020037,heme binding,6.625263635344648e-4,4,si:dkey-286h2.3/cyp1a/cyp4v2b/cyp46a1.1,3.1787968354141944
GO:0046906,tetrapyrrole binding,6.625263635344648e-4,4,si:dkey-286h2.3/cyp1a/cyp4v2b/cyp46a1.1,3.1787968354141944
GO:0005506,iron ion binding,7.424257353951253e-4,4,si:dkey-286h2.3/cyp1a/cyp4v2b/cyp46a1.1,3.1293469821739257
GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",0.001166417971793715,4,si:dkey-286h2.3/cyp1a/cyp4v2b/cyp46a1.1,2.933145797504572
GO:0015020,glucuronosyltransferase activity,0.009934327429335367,2,ugt1ab/ugt1a2,2.002861530025302
GO:0016712,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",0.015951635462145248,2,si:dkey-286h2.3/cyp1a,1.79719478371821
GO:0008061,chitin binding,0.05589540159452657,1,chia.3,1.2526239192024426
GO:0008271,secondary active sulfate transmembrane transporter activity,0.05589540159452657,1,slc13a1,1.2526239192024426
GO:0003841,1-acylglycerol-3-phosphate O-acyltransferase activity,0.05589540159452657,1,agpat2,1.2526239192024426
GO:0008194,UDP-glycosyltransferase activity,0.05589540159452657,2,ugt1ab/ugt1a2,1.2526239192024426
GO:0042171,lysophosphatidic acid acyltransferase activity,0.05589540159452657,1,agpat2,1.2526239192024426
GO:0070330,aromatase activity,0.05589540159452657,1,cyp1a,1.2526239192024426
GO:0015116,sulfate transmembrane transporter activity,0.05589540159452657,1,slc13a1,1.2526239192024426
GO:0071617,lysophospholipid acyltransferase activity,0.05589540159452657,1,agpat2,1.2526239192024426
GO:0016411,acylglycerol O-acyltransferase activity,0.06352367973557209,1,agpat2,1.1970643524800992
GO:0015252,proton channel activity,0.06674568215031285,1,otop2,1.1755768240300006
GO:0033764,"steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",0.0695948689373796,1,hsd3b7,1.1574227786987386
GO:0016229,steroid dehydrogenase activity,0.07562383884597638,1,hsd3b7,1.1213412805927843
GO:0004364,glutathione transferase activity,0.07562383884597638,1,mgst3b,1.1213412805927843
GO:0016758,hexosyltransferase activity,0.07562383884597638,2,ugt1ab/ugt1a2,1.1213412805927843
GO:0016709,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen",0.07562383884597638,1,cyp46a1.1,1.1213412805927843
GO:1901682,sulfur compound transmembrane transporter activity,0.08872906764992386,1,slc13a1,1.0519340819502423
GO:0005243,gap junction channel activity,0.08872906764992386,1,gja13.1,1.0519340819502423
