ID,Description,p.adjust,Count,geneID,log_padj
GO:0031210,phosphatidylcholine binding,0.01781323027214814,1,pitpnbl,1.7492573179224673
GO:0120014,phospholipid transfer activity,0.01781323027214814,1,pitpnbl,1.7492573179224673
GO:0050997,quaternary ammonium group binding,0.01781323027214814,1,pitpnbl,1.7492573179224673
GO:0044877,protein-containing complex binding,0.01781323027214814,2,tpm3/zgc:110425,1.7492573179224673
GO:0031492,nucleosomal DNA binding,0.01781323027214814,1,zgc:110425,1.7492573179224673
GO:0120013,lipid transfer activity,0.019204202855387598,1,pitpnbl,1.716603715194532
GO:0031491,nucleosome binding,0.019204202855387598,1,zgc:110425,1.716603715194532
GO:0005548,phospholipid transporter activity,0.019204202855387598,1,pitpnbl,1.716603715194532
GO:0031490,chromatin DNA binding,0.021097335621506508,1,zgc:110425,1.675772388206615
GO:0005200,structural constituent of cytoskeleton,0.022204511856549727,1,actb1,1.6535587699047207
GO:0030527,structural constituent of chromatin,0.023471203846127574,1,zgc:110425,1.6294646347166126
GO:0005319,lipid transporter activity,0.03617217196568928,1,pitpnbl,1.4416254131517432
GO:0035091,phosphatidylinositol binding,0.04377517533277254,1,pitpnbl,1.3587721057607214
GO:0051015,actin filament binding,0.0460132071143439,1,tpm3,1.337117495413292
GO:0003682,chromatin binding,0.059692954734745694,1,zgc:110425,1.2240769234833313
GO:0005543,phospholipid binding,0.06399084176750675,1,pitpnbl,1.1938821768667154
GO:0003779,actin binding,0.08421113875332988,1,tpm3,1.0746304598167384
