ID,Description,p.adjust,Count,geneID,log_padj
dre01240,Biosynthesis of cofactors,9.601893746391505e-5,4,406789/100330410/406731/100379286,4.017643104200134
dre00982,Drug metabolism - cytochrome P450,9.601893746391505e-5,3,567275/406731/100379286,4.017643104200134
dre00980,Metabolism of xenobiotics by cytochrome P450,9.601893746391505e-5,3,567275/406731/100379286,4.017643104200134
dre00830,Retinol metabolism,1.4087264159039992e-4,3,777751/406731/100379286,3.8511733415960516
dre00983,Drug metabolism - other enzymes,1.4781457215583494e-4,3,567275/406731/100379286,3.830282749331528
dre00120,Primary bile acid biosynthesis,5.242715219524953e-4,2,327462/553543,3.280443732205764
dre00040,Pentose and glucuronate interconversions,0.0016442097518752767,2,406731/100379286,2.7840427803048993
dre00053,Ascorbate and aldarate metabolism,0.0016442097518752767,2,406731/100379286,2.7840427803048993
dre00860,Porphyrin metabolism,0.0025933704386493315,2,406731/100379286,2.58613544390528
dre00140,Steroid hormone biosynthesis,0.0027804194930469866,2,406731/100379286,2.5558896753871636
dre04140,Autophagy - animal,0.018625697774056312,2,393285/100329702,1.7298874483114375
dre00730,Thiamine metabolism,0.02041787552468214,1,100330410,1.6899894481407087
dre00770,Pantothenate and CoA biosynthesis,0.027041281517212967,1,406789,1.5679727305312177
dre00790,Folate biosynthesis,0.03554669281934451,1,100330410,1.4492007987913682
dre04136,Autophagy - other,0.03554669281934451,1,100329702,1.4492007987913682
dre00520,Amino sugar and nucleotide sugar metabolism,0.04741310975894898,1,406819,1.3241015589847713
dre00480,Glutathione metabolism,0.05952038679699121,1,567275,1.225334255162899
dre00561,Glycerolipid metabolism,0.06196873582986367,1,777624,1.2078273634229275
dre04920,Adipocytokine signaling pathway,0.0764748475179814,1,393285,1.1164813802754876
dre00564,Glycerophospholipid metabolism,0.08787773359988488,1,777624,1.0561211522266778
