ID,Description,p.adjust,Count,geneID,log_padj
dre04814,Motor proteins,0.006079199486076171,2,373076/57934,2.2161536052122646
dre04820,Cytoskeleton in muscle cells,0.006079199486076171,2,373076/57934,2.2161536052122646
dre04136,Autophagy - other,0.028615504036215045,1,100332293,1.5433985999838291
dre05100,Bacterial invasion of epithelial cells,0.048339083990279294,1,57934,1.3157015835877872
dre03082,ATP-dependent chromatin remodeling,0.048339083990279294,1,57934,1.3157015835877872
dre04260,Cardiac muscle contraction,0.048339083990279294,1,373076,1.3157015835877872
dre04520,Adherens junction,0.048339083990279294,1,57934,1.3157015835877872
dre04518,Integrin signaling,0.048339083990279294,1,57934,1.3157015835877872
dre04210,Apoptosis,0.048339083990279294,1,57934,1.3157015835877872
dre04140,Autophagy - animal,0.048339083990279294,1,100332293,1.3157015835877872
dre04530,Tight junction,0.048339083990279294,1,57934,1.3157015835877872
dre04261,Adrenergic signaling in cardiomyocytes,0.048339083990279294,1,373076,1.3157015835877872
dre04145,Phagocytosis,0.048339083990279294,1,57934,1.3157015835877872
dre04510,Focal adhesion,0.048339083990279294,1,57934,1.3157015835877872
dre04810,Regulation of actin cytoskeleton,0.049464917697561075,1,57934,1.3057027091889128
dre05132,Salmonella infection,0.049464917697561075,1,57934,1.3057027091889128
dre04517,IgSF CAM signaling,0.05926370150088798,1,57934,1.2272112267809199
dre04519,Cadherin signaling,0.06029886663043049,1,57934,1.2196908507251187
