ID,Description,p.adjust,Count,geneID,log_padj
dre03050,Proteasome,1.305943296692908e-39,30,321898/393518/393261/393922/415202/415181/393941/30387/403011/321585/550287/322265/799058/326884/445030/573095/796450/445285/171585/64279/321947/554153/554967/393544/336786/436882/445033/326687/445413/436862,38.88407567946829
dre03013,Nucleocytoplasmic transport,1.829565142881767e-11,17,571089/445231/445382/558883/406398/334749/337461/563392/406783/324743/407710/394053/393635/30572/100529857/325064/378454,10.737652122558671
dre04621,NOD-like receptor signaling pathway,1.930374585245355e-8,17,403013/550552/767660/563560/393386/100536675/393896/393620/322060/561021/557302/100149641/100322630/777696/324211/777653/100334178,7.714358408857434
dre03030,DNA replication,6.450987351963805e-8,9,556456/327491/393196/259256/503748/192323/566409/30440/192320,7.190373809598388
dre03420,Nucleotide excision repair,2.4798983545137144e-7,10,556456/327491/100149268/334839/393196/450080/259256/503748/405897/192320,6.60556611956833
dre04110,Cell cycle,1.8290703133486322e-6,15,554509/100318335/795522/777733/403060/563669/798352/566787/324256/192302/322060/192323/566409/799015/405897,5.73776959900015
dre03082,ATP-dependent chromatin remodeling,6.611138585523091e-6,12,494062/406675/799716/393225/558344/192302/406357/57934/394048/563456/393628/326933,5.179723738876381
dre03430,Mismatch repair,6.611138585523091e-6,6,556456/327491/406845/393196/259256/503748,5.179723738876381
dre04120,Ubiquitin mediated proteolysis,6.611138585523091e-6,13,100318335/406776/336088/170784/798352/406807/415148/335444/393934/321943/406335/100001302/100007521,5.179723738876381
dre03410,Base excision repair,6.206677683193337e-5,7,556456/553789/259256/503748/554204/571485/192320,4.207140807223775
dre04145,Phagocytosis,6.206677683193337e-5,15,100330410/359839/550552/641421/336681/386701/393154/337583/57934/393386/406297/100333043/556826/368878/103911540,4.207140807223775
dre05168,Herpes simplex virus 1 infection,1.8184040046005494e-4,12,403013/563560/402972/100536675/100333043/556826/561021/557302/368878/103911540/405835/777653,3.740309620852154
dre04217,Necroptosis,6.875455269985649e-4,11,403013/406766/393386/394048/373114/100536675/393896/561021/557302/777653/100334178,3.162698538996438
dre01232,Nucleotide metabolism,0.001106554160065576,8,445151/30740/678545/192305/474325/541538/550332/557834,2.9560273247624944
dre03083,Polycomb repressive complex,0.002621823315886909,7,564004/550463/794171/192302/768133/335444/393934,2.581396578672176
dre03015,mRNA surveillance pathway,0.0031905111440621594,7,394092/561459/324554/406783/570858/386806/394053,2.496139734101847
dre05132,Salmonella infection,0.0054563612090875475,13,641421/393653/563560/336681/386701/100006250/393154/57934/336613/445305/406297/561021/557302,2.2630968872663475
dre04620,Toll-like receptor signaling pathway,0.006776541437953334,7,403013/563560/100536675/561021/557302/100270764/777653,2.1689919016559025
dre04140,Autophagy - animal,0.010269972442919611,10,393285/100329702/406843/550552/325358/767660/368883/373114/553776/492808,1.9884307217293047
dre04210,Apoptosis,0.014101514489354063,9,563560/100000986/195816/393154/30196/57934/373114/561021/557302,1.8507342420220612
dre00230,Purine metabolism,0.01463291515609944,8,560827/445151/30740/678545/192305/474325/541538/557834,1.8346691455021529
dre04141,Protein processing in endoplasmic reticulum,0.01463291515609944,9,170784/553627/334633/327197/558108/322073/335444/393934/492805,1.8346691455021529
dre00240,Pyrimidine metabolism,0.014695559701763224,5,445151/30740/474325/541538/550332,1.832813868539427
dre04625,C-type lectin receptor signaling pathway,0.015009940577137247,7,403013/563560/368217/321808/561021/557302/792160,1.8236210270820112
dre00983,Drug metabolism - other enzymes,0.017278701587480173,6,30740/568744/567275/406731/100379286/557834,1.7624888958026708
dre04814,Motor proteins,0.017278701587480173,10,641421/336681/386701/337226/393154/57934/474327/406297/559005/58004,1.7624888958026708
dre04142,Lysosome biogenesis,0.02076480027200918,11,556111/359839/558153/562166/325358/567959/566517/100007877/337583/492808/570467,1.6826722418322853
dre04517,IgSF CAM signaling,0.027977248628828583,13,100002928/641421/321107/336681/100001537/325034/286739/386701/337226/393154/57934/445305/406297,1.5531949976380037
dre00564,Glycerophospholipid metabolism,0.028069509203309674,6,767699/393722/641423/777624/553380/436896,1.5517651809586426
dre00120,Primary bile acid biosynthesis,0.0297159497217567,3,327462/553543/450052,1.5270103851322696
dre04136,Autophagy - other,0.0535090810546301,3,100329702/406843/550552,1.2715725073761515
dre04910,Insulin signaling pathway,0.05582792394538159,7,393285/563560/393732/368217/406440/321808/100007521,1.253148521815141
dre00480,Glutathione metabolism,0.05663633267079033,4,30740/568744/567275/80872,1.2469048759468793
dre04672,Intestinal immune network for IgA production,0.05675779128995658,3,368878/103911540/100270764,1.2459745133070197
dre03440,Homologous recombination,0.06223241549787498,3,556456/327491/393196,1.2059833419202515
dre04622,RIG-I-like receptor signaling pathway,0.06223241549787498,4,767660/563560/561021/557302,1.2059833419202515
dre03450,Non-homologous end-joining,0.06223241549787498,2,393759/569525,1.2059833419202515
dre03022,Basal transcription factors,0.06223241549787498,3,334839/450080/405897,1.2059833419202515
dre04520,Adherens junction,0.06223241549787498,6,100002928/321107/30741/30502/57934/541489,1.2059833419202515
dre00982,Drug metabolism - cytochrome P450,0.06223241549787498,4,568744/567275/406731/100379286,1.2059833419202515
dre04114,Oocyte meiosis,0.06348077281780115,6,100318335/403060/798352/368217/321808/322060,1.1973577947643292
dre00730,Thiamine metabolism,0.06413905410210959,2,100330410/541489,1.1928774491669076
dre00980,Metabolism of xenobiotics by cytochrome P450,0.0647836190960891,4,568744/567275/406731/100379286,1.188534794060364
dre01240,Biosynthesis of cofactors,0.0647836190960891,7,406789/100330410/81882/406731/100379286/192305/550338,1.188534794060364
dre04150,mTOR signaling pathway,0.08001991289125443,7,100329702/359839/325358/563560/334749/393732/337583,1.0968019257246813
dre03018,RNA degradation,0.08534285066657794,4,393827/568176/100535720/100003553,1.068832854702771
dre04330,Notch signaling pathway,0.08672776013791027,4,192302/65229/568626/30120,1.0618418697091505
dre03460,Fanconi anemia pathway,0.08896950244332975,3,327491/393149/393196,1.0507588381910982
